CmdIDWithPhase,CmdCodeHex,PageHexIfPaged,PhaseHex,EncodedType,EncodedHex[HiByte|LoByte],Decoded,DecodedNumeric
VOUT_MODE,0x20,,,Byte,0x17,EXP -9,
CAPABILITY,0x19,,,Byte,0xB0,Max Bus: 400 Khz; PEC: Yes; SMBALERT#: Yes,
IOUT_CAL_OFFSET,0x39,,,Word,0xE000,"0,00000 A",0
IOUT_OC_FAULT_LIMIT,0x46,,,Word,0xF84E,"39,00 A",39
IOUT_OC_FAULT_RESPONSE,0x47,,,Byte,0x3F,Restart Continuously,
IOUT_OC_WARN_LIMIT,0x4A,,,Word,0xF83C,"30,00 A",30
MFR_00 (FOR_USER),0xD0,,,Word,0x0000,0000000000000000b,
MFR_04 (VREF_TRIM),0xD4,,,Word,0x0000,"0,000 V",0
MFR_05 (STEP_VREF_MARGIN_HIGH),0xD5,,,Word,0x001E,"0,059 V","0,059"
MFR_06 (STEP_VREF_MARGIN_LOW),0xD6,,,Word,0xFFCD,"-0,100 V","-0,1"
MFR_07 (PCT_VOUT_FAULT_PG_LIMIT),0xD7,,,Byte,0x01,PGL: 01b,
MFR_08 (SEQUENCE_TON_TOFF_DELAY),0xD8,,,Byte,0x00,TON_DEL:000b; TON_DEL:000b,
MFR_13,0xDD,,,Word,0x01CB,"459d, 000111001011b",
MFR_14,0xDE,,,Word,0x0836,"2102d, 100000110110b",
MFR_17,0xE1,,,Word,0x08AB,"2219d, 100010101011b",
MFR_21 (OPTIONS),0xE5,,,Word,0x0004,EN_ADC_CNTL:1,
MFR_23 (MASK_SMBALERT),0xE7,,,Word,0x81FD,VIN_UV: True; GOOD_Z: False; UVF: True; OVF: True; OCW: True; OCF: True; OTW: True; OTF: True; EN_AUTO_ARA: True; MEM: False; PEC: False; IVD: False; IVC: False; SMB_TO_ERR: False; PRTCL_ERR: False; OTFI: True;,
MFR_44 (DEVICE_CODE),0xFC,,,Word,0x0153,"ID: 0x015 (TPS544C20), Revision: 0x3",
ON_OFF_CONFIG,0x02,,,Byte,0x16,"Mode: CONTROL Pin Only; Control: Active High, Use TOFF_DELAY/TOFF_FALL",
OPERATION,0x01,,,Byte,0x00,Unit: ImmediateOff; Margin: None,
OT_FAULT_LIMIT,0x4F,,,Word,0x0096,150 C,150
OT_WARN_LIMIT,0x51,,,Word,0x007D,125 C,125
PMBUS_REVISION,0x98,,,Byte,0x11,"1,0,1,1 - Part I: 1,0, Part II: 1,1",
READ_IOUT,0x8C,,,Word,0xE00A,"0,63 A","0,625"
READ_TEMPERATURE_2,0x8E,,,Word,0x001B,27 C,27
READ_VOUT,0x8B,,,Word,0x06C5,"3,385 V","3,385"
STATUS_BYTE,0x78,,,Byte,0x00,<EMPTY>,
STATUS_CML,0x7E,,,Byte,0x00,<EMPTY>,
STATUS_IOUT,0x7B,,,Byte,0x00,<EMPTY>,
STATUS_MFR_SPECIFIC,0x80,,,Byte,0x00,<EMPTY>,
STATUS_TEMPERATURE,0x7D,,,Byte,0x00,<EMPTY>,
STATUS_VOUT,0x7A,,,Byte,0x00,<EMPTY>,
STATUS_WORD,0x79,,,Word,0x0000,<EMPTY>,
TON_RISE,0x61,,,Word,0xE02B,"2,7 ms","2,7"
VIN_OFF,0x36,,,Word,0xF010,"4,000 V",4
VIN_ON,0x35,,,Word,0xF01C,"7,000 V",7
WRITE_PROTECT,0x10,,,Byte,0x00,0,
