2018-04-26 18:10:54 startup archives install
2018-04-26 18:10:54 install base-passwd:arm64 <none> 3.5.44
2018-04-26 18:10:54 status half-installed base-passwd:arm64 3.5.44
2018-04-26 18:10:54 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:54 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:54 configure base-passwd:arm64 3.5.44 3.5.44
2018-04-26 18:10:54 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:54 status half-configured base-passwd:arm64 3.5.44
2018-04-26 18:10:54 status installed base-passwd:arm64 3.5.44
2018-04-26 18:10:54 startup archives install
2018-04-26 18:10:54 install base-files:arm64 <none> 10.1ubuntu2
2018-04-26 18:10:54 status half-installed base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 configure base-files:arm64 10.1ubuntu2 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:54 status half-configured base-files:arm64 10.1ubuntu2
2018-04-26 18:10:55 status installed base-files:arm64 10.1ubuntu2
2018-04-26 18:10:55 startup archives install
2018-04-26 18:10:55 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:10:55 status half-configured dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:55 status half-installed dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:55 status half-installed dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 configure dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 status installed dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:55 startup archives install
2018-04-26 18:10:55 install libc6:arm64 <none> 2.27-3ubuntu1
2018-04-26 18:10:55 status half-installed libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:56 status unpacked libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:56 status unpacked libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:56 configure libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2018-04-26 18:10:56 status unpacked libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:56 status unpacked libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:56 status half-configured libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:56 status installed libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:56 startup archives install
2018-04-26 18:10:56 install perl-base:arm64 <none> 5.26.1-6
2018-04-26 18:10:56 status half-installed perl-base:arm64 5.26.1-6
2018-04-26 18:10:56 status unpacked perl-base:arm64 5.26.1-6
2018-04-26 18:10:57 status unpacked perl-base:arm64 5.26.1-6
2018-04-26 18:10:57 configure perl-base:arm64 5.26.1-6 5.26.1-6
2018-04-26 18:10:57 status unpacked perl-base:arm64 5.26.1-6
2018-04-26 18:10:57 status half-configured perl-base:arm64 5.26.1-6
2018-04-26 18:10:57 status installed perl-base:arm64 5.26.1-6
2018-04-26 18:10:57 startup archives install
2018-04-26 18:10:57 install mawk:arm64 <none> 1.3.3-17ubuntu3
2018-04-26 18:10:57 status half-installed mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:10:57 status unpacked mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:10:57 status unpacked mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:10:57 configure mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-04-26 18:10:57 status unpacked mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:10:57 status half-configured mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:10:57 status installed mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:10:57 startup archives unpack
2018-04-26 18:10:57 upgrade base-files:arm64 10.1ubuntu2 10.1ubuntu2
2018-04-26 18:10:57 status half-configured base-files:arm64 10.1ubuntu2
2018-04-26 18:10:57 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:57 status half-installed base-files:arm64 10.1ubuntu2
2018-04-26 18:10:57 status half-installed base-files:arm64 10.1ubuntu2
2018-04-26 18:10:57 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:57 status unpacked base-files:arm64 10.1ubuntu2
2018-04-26 18:10:57 upgrade base-passwd:arm64 3.5.44 3.5.44
2018-04-26 18:10:57 status half-configured base-passwd:arm64 3.5.44
2018-04-26 18:10:57 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:57 status half-installed base-passwd:arm64 3.5.44
2018-04-26 18:10:57 status half-installed base-passwd:arm64 3.5.44
2018-04-26 18:10:57 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:57 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:57 install bash:arm64 <none> 4.4.18-2ubuntu1
2018-04-26 18:10:57 status half-installed bash:arm64 4.4.18-2ubuntu1
2018-04-26 18:10:57 status unpacked bash:arm64 4.4.18-2ubuntu1
2018-04-26 18:10:57 status unpacked bash:arm64 4.4.18-2ubuntu1
2018-04-26 18:10:57 install bsdutils:arm64 <none> 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 status half-installed bsdutils:arm64 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 install coreutils:arm64 <none> 8.28-1ubuntu1
2018-04-26 18:10:57 status half-installed coreutils:arm64 8.28-1ubuntu1
2018-04-26 18:10:57 status unpacked coreutils:arm64 8.28-1ubuntu1
2018-04-26 18:10:57 status unpacked coreutils:arm64 8.28-1ubuntu1
2018-04-26 18:10:57 install dash:arm64 <none> 0.5.8-2.10
2018-04-26 18:10:57 status half-installed dash:arm64 0.5.8-2.10
2018-04-26 18:10:57 status unpacked dash:arm64 0.5.8-2.10
